data;abertura;maxima;minima;fechamento;vol_reais;variacao_percentual;cotacao_dia_dolar;cotacao_dia_sep_500;cotacao_petroleo
2026-02-19;186.02;188.687;185.928;188.534;9240000000.0;1.35;5.2109;6861.89;71.27
2026-02-18;186.464;187.657;185.001;186.016;7790000000.0;-0.24;5.2359;6881.31;69.77
2026-02-13;187.766;187.766;183.662;186.464;11590000000.0;-0.69;5.2196;6836.17;67.75
2026-02-12;189.694;189.99;186.959;187.766;12360000000.0;-1.02;5.212;6832.76;67.52
2026-02-11;185.936;190.561;185.936;189.699;11640000000.0;2.03;5.1836;6941.47;69.4
2026-02-10;186.241;186.959;185.083;185.929;10300000000.0;-0.17;5.1925;6941.81;68.8
2026-02-09;182.95;186.46;182.95;186.241;8920000000.0;1.8;5.1935;6964.82;69.04
2026-02-06;182.128;183.262;181.391;182.95;9900000000.0;0.45;5.2171;6932.3;68.05
2026-02-05;181.708;184.017;181.569;182.127;9830000000.0;0.23;5.2728;6798.4;67.55
2026-02-04;185.671;185.671;180.269;181.708;10730000000.0;-2.14;5.2395;6882.72;69.46
2026-02-03;182.816;187.334;182.816;185.674;10760000000.0;1.58;5.2392;6917.81;67.33
2026-02-02;181.369;182.89;181.348;182.793;8740000000.0;0.79;5.2608;6976.44;66.3
2026-01-30;183.133;183.62;180.089;181.364;11110000000.0;-0.97;5.2576;6939.03;70.69
2026-01-29;184.692;186.45;181.567;183.134;12950000000.0;-0.84;5.1903;6969.01;70.71
2026-01-28;181.921;185.065;181.921;184.691;11860000000.0;1.52;5.1944;6978.03;68.4
2026-01-27;178.852;183.36;178.852;181.919;11340000000.0;1.79;5.1811;6978.6;67.57
2026-01-26;178.859;179.543;177.694;178.721;9570000000.0;-0.08;5.2815;6950.23;65.59
2026-01-23;175.59;180.532;175.59;178.859;11780000000.0;1.86;5.2899;6915.61;65.07
2026-01-22;171.817;177.742;171.817;175.589;14020000000.0;2.2;5.2849;6913.35;63.34
2026-01-21;166.278;171.969;166.278;171.817;14070000000.0;3.33;5.3201;6875.62;64.53
2026-01-20;164.846;166.468;163.575;166.277;8369999999.999999;0.87;5.3769;6796.86;64.19
2026-01-19;164.8;165.155;164.265;164.849;4800000000.0;0.03;5.3702;;63.22
2026-01-16;165.557;165.872;164.1;164.8;11490000000.0;-0.46;5.3698;6940.01;64.13
2026-01-15;165.18;166.07;164.833;165.568;9410000000.0;0.26;5.3683;6944.47;63.76
2026-01-14;161.974;165.146;161.974;165.146;9930000000.0;1.96;5.3971;6926.6;66.52
2026-01-13;163.146;163.146;161.765;161.973;9670000000.0;-0.72;5.3728;6963.74;65.47
2026-01-12;163.37;163.493;162.277;163.15;6900000000.0;-0.13;5.3757;6977.27;63.87
2026-01-09;162.938;164.263;162.638;163.37;8300000000.000001;0.27;5.3713;6966.28;63.34
2026-01-08;161.975;162.936;161.748;162.936;8610000000.0;0.59;5.3881;6921.46;61.99
2026-01-07;163.661;163.661;161.746;161.975;8850000000.0;-1.03;5.3852;6920.93;59.96
2026-01-06;161.87;164.135;161.87;163.664;8410000000.0;1.11;5.3722;6944.82;60.7
2026-01-05;160.542;162.166;160.215;161.87;7990000000.0;0.83;5.4099;6902.05;61.76
2026-01-02;161.124;161.957;160.059;160.539;7460000000.0;-0.36;5.4227;6858.47;60.75
2025-12-30;160.491;162.075;160.491;161.125;5870000000.0;0.4;5.4778;6896.24;61.92
2025-12-29;160.897;161.133;159.702;160.49;5610000000.0;-0.25;5.5707;6905.74;61.94
2025-12-26;160.456;160.913;159.359;160.897;4790000000.0;0.27;5.5439;6929.94;60.64
2025-12-23;158.144;160.456;158.144;160.456;6570000000.0;1.46;5.5208;6909.79;61.87
2025-12-22;158.48;158.634;157.306;158.142;8420000000.0;-0.21;5.5901;6878.49;61.58
2025-12-19;157.928;159.552;157.906;158.473;9950000000.0;0.35;5.543;6834.5;60.47
2025-12-18;157.327;158.495;157.124;157.923;7800000000.0;0.38;5.522;6774.76;59.82
2025-12-17;158.578;158.611;156.351;157.327;11340000000.0;-0.79;5.5205;6721.43;59.68
2025-12-16;162.482;162.482;158.558;158.578;9920000000.0;-2.4;5.5093;6800.26;58.92
2025-12-15;160.766;163.073;160.766;162.482;8230000000.0;1.07;5.4148;6816.51;60.56
2025-12-12;159.189;161.263;159.189;160.766;7670000000.0;0.99;5.419;6827.41;61.12
